ERR009159,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,73.48 MB,96.89 MB,2.39 GB,4.60 GB,13.47 GB,3.29 GB,1.56 GB,4.28 GB,7.07 GB,4.55 GB,7.27 GB,2.23 GB
2,73.30 MB,120.63 MB,2.35 GB,3.46 GB,13.59 GB,3.29 GB,1.56 GB,12.29 GB,7.07 GB,4.55 GB,7.38 GB,2.23 GB
3,73.64 MB,96.87 MB,2.35 GB,4.60 GB,13.47 GB,3.28 GB,1.56 GB,10.71 GB,7.07 GB,4.55 GB,7.38 GB,2.23 GB
4,57.35 MB,96.97 MB,2.39 GB,3.59 GB,14.90 GB,3.29 GB,1.56 GB,15.75 GB,6.93 GB,4.55 GB,7.38 GB,2.23 GB
5,71.91 MB,96.95 MB,2.69 GB,4.60 GB,13.58 GB,3.28 GB,1.56 GB,12.45 GB,6.99 GB,4.52 GB,7.38 GB,2.23 GB
6,78.69 MB,96.80 MB,2.67 GB,3.27 GB,13.58 GB,3.29 GB,1.56 GB,12.74 GB,7.03 GB,4.52 GB,7.32 GB,2.23 GB
7,76.89 MB,96.56 MB,3.02 GB,5.00 GB,13.59 GB,3.29 GB,1.56 GB,17.67 GB,7.06 GB,4.52 GB,7.30 GB,2.23 GB
8,79.11 MB,120.05 MB,3.19 GB,5.03 GB,14.74 GB,3.29 GB,1.56 GB,1.43 GB,7.07 GB,4.52 GB,7.38 GB,2.23 GB
9,77.28 MB,120.46 MB,2.85 GB,4.66 GB,13.47 GB,3.29 GB,1.56 GB,6.17 GB,7.07 GB,4.52 GB,7.32 GB,2.23 GB
10,75.67 MB,120.55 MB,2.35 GB,4.16 GB,13.47 GB,3.29 GB,1.56 GB,5.88 GB,6.99 GB,4.52 GB,7.31 GB,2.23 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
ERR009168,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,61.47 MB,96.17 MB,2.10 GB,4.46 GB,11.41 GB,3.29 GB,1.56 GB,13.56 GB,4.81 GB,3.98 GB,7.07 GB,1.99 GB
2,69.44 MB,96.31 MB,2.10 GB,4.87 GB,13.00 GB,3.28 GB,1.56 GB,1.43 GB,4.42 GB,3.98 GB,7.21 GB,1.99 GB
3,77.50 MB,96.21 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.56 GB,2.96 GB,4.46 GB,3.98 GB,7.37 GB,1.99 GB
4,62.23 MB,96.59 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.57 GB,1.59 GB,4.88 GB,3.98 GB,7.03 GB,1.99 GB
5,75.33 MB,96.62 MB,2.10 GB,4.45 GB,11.41 GB,3.29 GB,1.56 GB,14.49 GB,4.43 GB,4.10 GB,7.06 GB,1.99 GB
6,76.75 MB,96.88 MB,2.10 GB,3.48 GB,13.07 GB,3.28 GB,1.57 GB,8.78 GB,4.84 GB,3.98 GB,7.37 GB,1.99 GB
7,76.65 MB,96.59 MB,2.10 GB,4.45 GB,13.09 GB,3.29 GB,1.56 GB,823.23 MB,5.62 GB,3.98 GB,7.03 GB,1.99 GB
8,52.68 MB,96.68 MB,2.10 GB,3.48 GB,11.41 GB,3.28 GB,1.57 GB,632.10 MB,4.30 GB,3.95 GB,7.06 GB,1.99 GB
9,68.52 MB,96.61 MB,2.10 GB,4.45 GB,11.41 GB,3.28 GB,1.57 GB,13.58 GB,5.45 GB,3.95 GB,7.07 GB,1.99 GB
10,76.41 MB,96.64 MB,2.10 GB,3.48 GB,12.73 GB,3.29 GB,1.57 GB,13.58 GB,4.77 GB,3.95 GB,7.07 GB,1.99 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR13280655,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,118.21 MB,115.84 MB,1.76 GB,4.17 GB,16.62 GB,3.40 GB,284.68 MB,1.47 GB,1.50 GB,6.56 GB,7.31 GB,1.56 GB
2,118.85 MB,124.06 MB,1.76 GB,3.79 GB,18.40 GB,3.40 GB,284.62 MB,2.87 GB,1.50 GB,6.57 GB,7.35 GB,1.56 GB
3,116.41 MB,116.23 MB,1.75 GB,3.11 GB,15.93 GB,3.40 GB,284.84 MB,5.10 GB,1.51 GB,6.52 GB,7.39 GB,1.56 GB
4,116.39 MB,115.96 MB,1.75 GB,3.56 GB,16.00 GB,3.40 GB,284.79 MB,6.73 GB,1.50 GB,6.56 GB,7.38 GB,1.56 GB
5,108.84 MB,115.89 MB,1.76 GB,3.12 GB,17.41 GB,3.41 GB,284.72 MB,7.26 GB,1.51 GB,6.56 GB,7.39 GB,1.56 GB
6,117.25 MB,115.98 MB,1.75 GB,3.79 GB,16.06 GB,3.40 GB,284.79 MB,7.85 GB,1.50 GB,6.56 GB,7.38 GB,1.56 GB
7,118.83 MB,115.90 MB,1.75 GB,3.19 GB,17.88 GB,3.40 GB,284.56 MB,6.73 GB,1.51 GB,6.56 GB,7.35 GB,1.56 GB
8,105.35 MB,115.60 MB,1.75 GB,3.78 GB,17.48 GB,3.40 GB,284.68 MB,6.19 GB,1.51 GB,6.57 GB,7.35 GB,1.56 GB
9,120.18 MB,115.87 MB,1.74 GB,3.83 GB,15.87 GB,3.40 GB,284.45 MB,11.53 GB,1.51 GB,6.57 GB,7.35 GB,1.56 GB
10,77.53 MB,125.20 MB,1.75 GB,4.13 GB,17.65 GB,3.40 GB,284.63 MB,11.53 GB,1.51 GB,6.56 GB,7.35 GB,1.56 GB
avg,,,,,,,,,,,,
,,,,,,,,,,,,
SRR13280656,seq2HLA,rna2hla,arcasHLA,HLAforest,Optitype ,PHLAT,HLAMiner,HLA-HD,HLAvbseq,T1K,HISAT-genotype,HLApers
1,75.00 MB,112.60 MB,1.32 GB,3.60 GB,6.14 GB,3.41 GB,195.79 MB,6.23 GB,1.48 GB,5.37 GB,7.27 GB,1.25 GB
2,97.73 MB,112.46 MB,1.30 GB,3.22 GB, 6.14 GB,3.40 GB,191.74 MB,2.12 GB,1.95 GB,5.28 GB,7.39 GB,1.25 GB
3,101.71 MB,112.47 MB,1.30 GB,3.03 GB,7.35 GB,3.41 GB,191.54 MB,1.95 GB,1.96 GB,5.28 GB,7.38 GB,1.25 GB
4,68.78 MB,112.44 MB,1.30 GB,4.07 GB,6.14 GB,3.42 GB,191.65 MB,6.49 GB,1.47 GB,5.28 GB,7.37 GB,1.25 GB
5,91.73 MB,112.45 MB,1.30 GB,3.59 GB,6.21 GB,3.41 GB,191.64 MB,2.12 GB,1.95 GB,5.28 GB,7.37 GB,1.25 GB
6,106.91 MB,112.45 MB,1.30 GB,2.72 GB,6.26 GB,3.41 GB,191.59 MB,5.65 GB,1.97 GB,5.29 GB,7.37 GB,1.25 GB
