Tool,ClassI_Eur,ClassI_Yri,ClassII_Eur,ClassII_Yri
arcas,0.9491725768321513,0.9228855721393034,0.9562647754137116,0.7798507462686567
optitype,0.9885736800630418,0.9751243781094527,0.0,0.0
seq2hla,0.9724192277383766,0.9328358208955224,0.892434988179669,0.8843283582089553
hlaminer,0.06501182033096926,0.04477611940298507,0.10342789598108747,0.10074626865671642
phlat,0.9003152088258471,0.8258706467661692,0.7695035460992907,0.6268656716417911
hlavbseq,0.9074074074074074,0.845771144278607,0.0,0.0
hlahd,0.9578408195429472,0.9253731343283582,0.9722222222222222,0.8134328358208955
hisat,0.9759653270291568,0.9402985074626866,0.9609929078014184,0.7947761194029851
hlaforest,0.830575256107171,0.7761194029850746,0.9355791962174941,0.7089552238805971
hlapers,0.7344365642237982,0.7985074626865671,0.0,0.0
T1K,0.987785657998424,0.9477611940298507,0.9728132387706856,0.8022388059701493
