Tool,ClassI_Eur,ClassI_Yri,ClassII_Eur,ClassII_Yri
arcas,0.9956658786446021,0.9950248756218906,0.9988179669030733,0.9850746268656716
optitype,0.996059889676911,1.0,0.0,0.0
seq2hla,0.9905437352245863,0.9875621890547264,0.9781323877068558,0.9626865671641791
hlaminer,0.20252167060677698,0.14427860696517414,0.32387706855791965,0.27611940298507465
phlat,0.9791174152876281,0.9626865671641791,0.8410165484633569,0.8283582089552238
hlavbseq,0.9826635145784082,0.9800995024875622,0.0,0.0
hlahd,0.9881796690307328,0.9900497512437811,0.9934988179669031,0.9850746268656716
hisat,0.996059889676911,0.9950248756218906,0.9899527186761229,0.9776119402985075
hlaforest,0.9936958234830575,0.9402985074626866,0.99822695035461,0.9925373134328358
hlapers,0.8439716312056738,0.8756218905472637,0.0,0.0
T1K,0.996059889676911,0.9950248756218906,0.9988179669030733,0.9850746268656716
